url,title,author,image,price,"old price","external id"
https://nemira.ro/timpul-dezarticulat-ebook,"Timpul dezarticulat (ebook)","Philip K. Dick",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/t/i/timpul-dezarticulat.jpg,"13,15 lei",,4597
https://nemira.ro/vise-spulberate-ebook,"Vise spulberate (ebook)","Phillipa Fioretti",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/p/h/phillipa-fioretti---vise-spulberate_1.jpg,"18,74 lei","22,05 lei",4604
https://nemira.ro/viseaza-androizii-oi-electrice-ebook,"Visează androizii oi electrice? (ebook)","Philip K. Dick",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/v/i/viseaza-androizii-oi-electrice.jpg,"18,74 lei","22,05 lei",4602
https://nemira.ro/cele-trei-stigmate-ale-lui-palmer-eldritch-ebook,"Cele trei stigmate ale lui Palmer Eldritch (ebook)","Philip K. Dick",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/c/e/cele-trei-stigmate.jpg,"17,56 lei",,4600
https://nemira.ro/omul-din-castelul-inalt-ebook,"Omul din castelul înalt (ebook)","Philip K. Dick",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/o/m/omul-din-castelul-inalt.png,"18,74 lei","22,05 lei",4598
https://nemira.ro/substanta-m-ebook,"Substanța M (ebook)","Philip K. Dick",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/s/u/subtanta-m.jpg,"8,74 lei",,4596
https://nemira.ro/ziua-furnicilor-trilogia-furnicile-partea-ii-ebook,"Ziua furnicilor (ebook, Trilogia Furnicile, partea a II-a)","Bernard Werber",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/b/e/bernard-werber---ziua-furnicilor_1.jpg,"8,74 lei",,4603
https://nemira.ro/filozofia-f-k-it-ebook,"Filozofia F**k it! (ebook)","John C. Parkin",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/f/u/fuck-it.jpg,"8,74 lei",,4627
https://nemira.ro/mireasma-noptii-ebook,"Mireasma nopții (ebook)","Andrea Calogero Camilleri",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/a/n/andrea-camilleri---mireama-noptii-latime-1024px_1.jpg,"17,64 lei",,4539
https://nemira.ro/intalnire-la-elysee-ebook,"Întâlnire la Elysee (ebook)","Rodica Ojog-Brașoveanu",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/i/n/intalnire-la-elysee.jpg,"13,15 lei",,4537
https://nemira.ro/grasa-si-proasta-ebook,"Grasă și proastă (ebook)","Rodica Ojog-Brașoveanu",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/g/r/grasa-si-proasta_1.jpg,"18,68 lei","21,97 lei",4535
https://nemira.ro/delirium-pandemonium-ebook,"Delirium: Pandemonium (ebook)","Lauren Oliver",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/l/a/lauren-oliver_pandemonium_coperta-latime-1024px_1.jpg,"22,43 lei","26,38 lei",4540
https://nemira.ro/al-cincilea-as-ebook,"Al cincilea as (ebook)","Rodica Ojog-Brașoveanu",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/a/l/al-cincilea-as.jpg,"17,56 lei",,4538
